step,train_loss,val_loss,lr,sec_per_step,mps_driver_gb
553,3.1531,,4.70e-05,16.24,17.5
554,4.6638,,4.70e-05,16.32,17.5
555,3.7309,,4.70e-05,16.29,17.5
556,3.9914,,4.70e-05,16.12,17.5
557,4.2518,,4.70e-05,16.17,17.5
558,4.2894,,4.70e-05,16.14,17.5
559,3.8673,,4.70e-05,16.11,17.5
560,3.1617,,4.70e-05,16.28,17.5
561,3.9023,,4.69e-05,16.27,17.5
562,3.8107,,4.69e-05,16.24,17.5
563,4.0344,,4.69e-05,16.21,17.5
564,3.4486,,4.69e-05,16.45,17.5
565,3.0037,,4.69e-05,16.45,17.5
566,3.0581,,4.69e-05,16.31,17.5
567,4.3124,,4.69e-05,16.31,17.5
568,4.2349,,4.69e-05,16.31,17.5
569,4.4065,,4.68e-05,16.31,17.5
570,4.2845,,4.68e-05,16.15,17.5
571,4.2427,,4.68e-05,16.14,17.5
572,4.4536,,4.68e-05,16.37,17.5
573,3.9045,,4.68e-05,16.24,17.5
574,4.325,,4.68e-05,16.27,17.5
575,3.9301,,4.68e-05,16.33,17.5
576,4.3006,,4.67e-05,16.37,17.5
577,4.102,,4.67e-05,16.42,17.5
578,4.2461,,4.67e-05,16.32,17.5
579,4.497,,4.67e-05,16.31,17.5
580,3.694,,4.67e-05,16.38,17.5
581,3.8632,,4.67e-05,16.42,17.5
582,4.1112,,4.67e-05,16.43,17.5
583,3.6888,,4.67e-05,16.32,17.5
584,3.8071,,4.66e-05,16.38,17.5
585,3.2357,,4.66e-05,16.41,17.5
586,4.3717,,4.66e-05,16.32,17.5
587,4.2738,,4.66e-05,16.45,17.5
588,4.168,,4.66e-05,16.39,17.5
589,3.8463,,4.66e-05,16.25,17.5
590,4.221,,4.66e-05,16.25,17.5
591,4.1231,,4.65e-05,16.23,17.5
592,4.4213,,4.65e-05,16.28,17.5
593,3.9946,,4.65e-05,16.13,17.5
594,3.0983,,4.65e-05,16.12,17.5
595,3.7132,,4.65e-05,16.22,17.5
596,2.9126,,4.65e-05,16.16,17.5
597,3.8657,,4.65e-05,16.23,17.5
598,3.6745,,4.64e-05,16.14,17.5
599,3.9969,,4.64e-05,16.06,17.5
600,3.269,,4.64e-05,16.13,17.5
601,3.993,,4.64e-05,16.16,17.5
