clip,n_notes,tonic,tuning_offset,western_key,pcs_raw,pcs_western,pcs_penta,penta_snapped_pct,penta_marked_pct,western_altered_pct,mean_confidence
e5501cc9_seg093.wav,21,A,15.7,A major,0.9521,1.0,0.9521,0.9524,0.0476,0.5238,0.817
e5501cc9_seg094.wav,37,B,9.9,A major,0.9656,1.0,0.9656,0.973,0.027,0.4324,0.8327
e5501cc9_seg095.wav,47,B,13.4,E major,0.9814,1.0,0.9814,0.9787,0.0213,0.5319,0.7956
e5501cc9_seg096.wav,42,B,9.3,E major,0.9768,1.0,0.9768,0.9762,0.0238,0.4762,0.8109
e5501cc9_seg097.wav,44,A,6.1,A major,0.9814,0.9814,0.9814,0.9773,0.0227,0.5,0.7986
e5501cc9_seg098.wav,38,A,2.1,A major,0.9556,0.981,0.9556,0.9474,0.0526,0.5,0.7954
e5501cc9_seg099.wav,22,A,1.0,A major,1.0,1.0,1.0,1.0,0.0,0.3636,0.8735
e5501cc9_seg100.wav,17,C#,5.6,A major,0.9464,1.0,0.9464,0.9412,0.0588,0.2941,0.8592
e5501cc9_seg101.wav,27,A,15.7,A major,1.0,1.0,1.0,1.0,0.0,0.5556,0.8152
e5501cc9_seg102.wav,24,A,15.1,A major,1.0,1.0,1.0,1.0,0.0,0.5417,0.8068
e5501cc9_seg103.wav,12,A,4.4,A major,1.0,1.0,1.0,1.0,0.0,0.25,0.8946
e5501cc9_seg104.wav,26,C#,4.0,A major,1.0,1.0,1.0,1.0,0.0,0.4615,0.8307
e78261db_seg000.wav,21,F,39.0,F minor,0.8263,0.798,0.8263,0.7619,0.2381,1.0,0.6769
e78261db_seg001.wav,7,F,46.1,F# minor,1.0,0.0,1.0,1.0,0.0,1.0,0.839
e78261db_seg002.wav,11,F#,-39.9,F# major,0.7289,0.8179,0.7289,0.7273,0.2727,0.9091,0.6244
e78261db_seg003.wav,20,F#,-42.2,F# major,0.6638,0.9219,0.6638,0.7,0.3,0.85,0.6187
e78261db_seg004.wav,16,F#,49.1,F# major,0.5086,0.468,0.5086,0.4375,0.5625,1.0,0.4178
e78261db_seg005.wav,7,F,38.3,F# minor,0.4994,0.0,0.4994,0.5714,0.4286,1.0,0.4976
e78261db_seg007.wav,10,F#,17.2,F# minor,0.6995,0.8142,0.6995,0.7,0.3,0.6,0.5655
e78261db_seg008.wav,10,F#,15.2,F# minor,0.686,0.8023,0.686,0.7,0.3,0.5,0.5893
e78261db_seg009.wav,7,C,39.0,G# major,0.7172,0.404,0.7172,0.7143,0.2857,0.8571,0.6905
e78261db_seg010.wav,7,F,40.7,F minor,0.7752,0.6202,0.7752,0.7143,0.2857,0.8571,0.6772
e78261db_seg011.wav,13,A#,44.0,F# major,0.8071,0.4769,0.8071,0.7692,0.2308,0.9231,0.7042
